Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
img_018.jpg,177.03,3DES,13.1,11.1
img_018.jpg,177.03,ChaCha20,8.3,8.6
img_018.jpg,177.03,Camellia,22.7,28.1
img_019.jpg,187.07,AES,12.0,28.9
img_019.jpg,187.07,3DES,6.0,2.6
img_019.jpg,187.07,ChaCha20,17.8,20.5
img_019.jpg,187.07,Camellia,6.8,21.3
img_020.jpg,194.61,AES,11.1,6.9
img_020.jpg,194.61,3DES,26.6,10.0
img_020.jpg,194.61,ChaCha20,4.0,20.8
img_020.jpg,194.61,Camellia,9.6,12.3
img_021.jpg,194.61,AES,8.6,9.9
img_021.jpg,194.61,3DES,4.2,6.5
img_021.jpg,194.61,ChaCha20,21.3,13.4
img_021.jpg,194.61,Camellia,12.9,10.0
img_022.jpg,214.63,AES,10.1,9.4
img_022.jpg,214.63,3DES,11.9,7.1
img_022.jpg,214.63,ChaCha20,17.1,26.2
img_022.jpg,214.63,Camellia,11.1,15.3
img_023.jpg,223.37,AES,42.5,13.3
img_023.jpg,223.37,3DES,12.5,8.1
img_023.jpg,223.37,ChaCha20,9.7,2.8
img_023.jpg,223.37,Camellia,5.1,8.8
img_024.jpg,233.78,AES,18.8,12.2
img_024.jpg,233.78,3DES,7.4,6.8
img_024.jpg,233.78,ChaCha20,6.9,16.7
img_024.jpg,233.78,Camellia,10.7,4.2
img_025.jpg,260.88,AES,2.8,5.5
img_025.jpg,260.88,3DES,15.0,20.9
img_025.jpg,260.88,ChaCha20,11.7,6.3
img_025.jpg,260.88,Camellia,5.6,11.8
img_026.jpg,257.04,AES,0,8.6
img_026.jpg,257.04,3DES,16.7,9.2
img_026.jpg,257.04,ChaCha20,1.5,0
img_026.jpg,257.04,Camellia,6.6,11.1
img_027.jpg,267.60,AES,11.6,27.0
img_027.jpg,267.60,3DES,22.2,21.1
img_027.jpg,267.60,ChaCha20,4.1,8.8
img_027.jpg,267.60,Camellia,7.9,25.9
img_028.jpg,274.17,AES,11.9,2.4
img_028.jpg,274.17,3DES,12.5,21.9
img_028.jpg,274.17,ChaCha20,11.1,16.7
img_028.jpg,274.17,Camellia,25.4,3.6
img_029.jpg,286.94,AES,20.3,18.8
img_029.jpg,286.94,3DES,59.1,11.9
img_029.jpg,286.94,ChaCha20,6.1,4.2
img_029.jpg,286.94,Camellia,12.0,11.1
img_030.jpg,295.25,AES,20.8,5.2
img_030.jpg,295.25,3DES,12.7,33.3
img_030.jpg,295.25,ChaCha20,31.9,27.8
img_030.jpg,295.25,Camellia,16.0,19.5
img_031.jpg,302.25,AES,21.7,3.8
img_031.jpg,302.25,3DES,4.8,8.0
img_031.jpg,302.25,ChaCha20,2.7,2.6
img_031.jpg,302.25,Camellia,7.9,11.8
img_032.jpg,313.63,AES,2.8,24.7
img_032.jpg,313.63,3DES,13.3,6.9
img_032.jpg,313.63,ChaCha20,2.7,19.2
img_032.jpg,313.63,Camellia,9.6,1.4
img_033.jpg,352.21,AES,0,35.0
