Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_050.mp3,2412.99,3DES,1.3657,0.00000055,2.1252,0.00000086
audio_050.mp3,2412.99,ChaCha20,0.0063,0.00000000,0.0050,0.00000000
audio_050.mp3,2412.99,Camellia,0.0086,0.00000000,0.0198,0.00000001
audio_051.mp3,2461.36,AES,0.0006,0.00000000,0.0110,0.00000000
audio_051.mp3,2461.36,3DES,1.8381,0.00000073,1.9401,0.00000077
audio_051.mp3,2461.36,ChaCha20,0.0034,0.00000000,0.0039,0.00000000
audio_051.mp3,2461.36,Camellia,0.0109,0.00000000,0.0403,0.00000002
audio_052.mp3,2510.34,AES,0.0007,0.00000000,0.0178,0.00000001
audio_052.mp3,2510.34,3DES,1.8999,0.00000074,1.4511,0.00000056
audio_052.mp3,2510.34,ChaCha20,0.0020,0.00000000,0.0067,0.00000000
audio_052.mp3,2510.34,Camellia,0.0663,0.00000003,0.0192,0.00000001
audio_053.mp3,2558.70,AES,0.0057,0.00000000,0.0121,0.00000000
audio_053.mp3,2558.70,3DES,1.5566,0.00000059,1.4322,0.00000055
audio_053.mp3,2558.70,ChaCha20,0.0052,0.00000000,0.0036,0.00000000
audio_053.mp3,2558.70,Camellia,0.0073,0.00000000,0.0142,0.00000001
audio_054.mp3,2607.68,AES,0.0162,0.00000001,0.0085,0.00000000
audio_054.mp3,2607.68,3DES,0.9401,0.00000035,0.9336,0.00000035
audio_054.mp3,2607.68,ChaCha20,0.0000,0.00000000,0.0012,0.00000000
audio_054.mp3,2607.68,Camellia,0.0422,0.00000002,0.0168,0.00000001
audio_055.mp3,2656.66,AES,0.0022,0.00000000,0.0015,0.00000000
audio_055.mp3,2656.66,3DES,1.4040,0.00000052,1.5333,0.00000056
audio_055.mp3,2656.66,ChaCha20,0.0047,0.00000000,0.0004,0.00000000
audio_055.mp3,2656.66,Camellia,0.0136,0.00000000,0.0035,0.00000000
audio_056.mp3,2705.03,AES,0.0030,0.00000000,0.0161,0.00000001
audio_056.mp3,2705.03,3DES,1.4537,0.00000052,1.2673,0.00000046
audio_056.mp3,2705.03,ChaCha20,0.0016,0.00000000,0.0060,0.00000000
audio_056.mp3,2705.03,Camellia,0.0855,0.00000003,0.0136,0.00000000
audio_057.mp3,2754.01,AES,0.0014,0.00000000,0.0014,0.00000000
audio_057.mp3,2754.01,3DES,2.0151,0.00000071,1.5194,0.00000054
audio_057.mp3,2754.01,ChaCha20,0.0034,0.00000000,0.0029,0.00000000
audio_057.mp3,2754.01,Camellia,0.0039,0.00000000,0.0151,0.00000001
audio_058.mp3,2802.38,AES,0.0229,0.00000001,0.0050,0.00000000
audio_058.mp3,2802.38,3DES,0.9660,0.00000034,1.6577,0.00000058
audio_058.mp3,2802.38,ChaCha20,0.0034,0.00000000,0.0037,0.00000000
audio_058.mp3,2802.38,Camellia,0.0546,0.00000002,0.0804,0.00000003
audio_059.mp3,2851.36,AES,0.0146,0.00000000,0.0016,0.00000000
audio_059.mp3,2851.36,3DES,1.4148,0.00000048,1.4276,0.00000049
audio_059.mp3,2851.36,ChaCha20,0.0009,0.00000000,0.0122,0.00000000
audio_059.mp3,2851.36,Camellia,0.0383,0.00000001,0.0385,0.00000001
audio_060.mp3,2899.72,AES,0.0049,0.00000000,0.0039,0.00000000
audio_060.mp3,2899.72,3DES,1.5450,0.00000052,1.4907,0.00000050
audio_060.mp3,2899.72,ChaCha20,0.0048,0.00000000,0.0029,0.00000000
audio_060.mp3,2899.72,Camellia,0.0215,0.00000001,0.0258,0.00000001
audio_061.mp3,2948.70,AES,0.0049,0.00000000,0.0200,0.00000001
audio_061.mp3,2948.70,3DES,1.6914,0.00000056,1.4840,0.00000049
audio_061.mp3,2948.70,ChaCha20,0.0010,0.00000000,0.0023,0.00000000
audio_061.mp3,2948.70,Camellia,0.0125,0.00000000,0.0171,0.00000001
audio_062.mp3,2997.68,AES,0.0027,0.00000000,0.0085,0.00000000
audio_062.mp3,2997.68,3DES,1.3539,0.00000044,1.6677,0.00000054
audio_062.mp3,2997.68,ChaCha20,0.0031,0.00000000,0.0010,0.00000000
audio_062.mp3,2997.68,Camellia,0.0183,0.00000001,0.0347,0.00000001
audio_063.mp3,3046.05,AES,0.0050,0.00000000,0.0118,0.00000000
audio_063.mp3,3046.05,3DES,1.5530,0.00000050,1.3574,0.00000044
audio_063.mp3,3046.05,ChaCha20,0.0041,0.00000000,0.0056,0.00000000
audio_063.mp3,3046.05,Camellia,0.0422,0.00000001,0.0331,0.00000001
audio_064.mp3,3095.03,AES,0.0161,0.00000001,0.0049,0.00000000
audio_064.mp3,3095.03,3DES,2.7886,0.00000088,1.3666,0.00000043
audio_064.mp3,3095.03,ChaCha20,0.0037,0.00000000,0.0022,0.00000000
audio_064.mp3,3095.03,Camellia,0.0284,0.00000001,0.0185,0.00000001
audio_065.mp3,3143.40,AES,0.0000,0.00000000,0.0271,0.00000001
audio_065.mp3,3143.40,3DES,1.7981,0.00000056,1.4734,0.00000046
audio_065.mp3,3143.40,ChaCha20,0.0090,0.00000000,0.0082,0.00000000
audio_065.mp3,3143.40,Camellia,0.0181,0.00000001,0.0344,0.00000001
audio_066.mp3,3192.38,AES,0.0171,0.00000001,0.0121,0.00000000
audio_066.mp3,3192.38,3DES,1.7716,0.00000054,1.5096,0.00000046
audio_066.mp3,3192.38,ChaCha20,0.0033,0.00000000,0.0023,0.00000000
audio_066.mp3,3192.38,Camellia,0.0450,0.00000001,0.0572,0.00000002
audio_067.mp3,3240.75,AES,0.0055,0.00000000,0.0015,0.00000000
audio_067.mp3,3240.75,3DES,1.2634,0.00000038,1.7956,0.00000054
audio_067.mp3,3240.75,ChaCha20,0.0000,0.00000000,0.0041,0.00000000
audio_067.mp3,3240.75,Camellia,0.0375,0.00000001,0.0154,0.00000000
audio_068.mp3,3289.72,AES,0.0089,0.00000000,0.0099,0.00000000
audio_068.mp3,3289.72,3DES,2.0276,0.00000060,2.3069,0.00000068
audio_068.mp3,3289.72,ChaCha20,0.0060,0.00000000,0.0071,0.00000000
audio_068.mp3,3289.72,Camellia,0.0393,0.00000001,0.0771,0.00000002
audio_069.mp3,3338.09,AES,0.0085,0.00000000,0.0191,0.00000001
audio_069.mp3,3338.09,3DES,2.3940,0.00000070,1.6211,0.00000047
