Archivo,Tamaño (KB),Algoritmo,Tiempo Encrypt (s),Velocidad Encrypt (bytes/s),Tiempo Decrypt (s),Velocidad Decrypt (bytes/s)
audio_046.mp3,2218.30,ChaCha20,0.001900,1195571381.18,0.001760,1290640522.44
audio_046.mp3,2218.30,Camellia,0.014511,156535091.38,0.013581,167254903.74
audio_047.mp3,2266.66,AES,0.004000,580273220.79,0.004266,544050733.49
audio_047.mp3,2266.66,3DES,0.477618,4859664.21,0.481644,4819041.16
audio_047.mp3,2266.66,ChaCha20,0.001847,1256484747.70,0.001833,1266455551.60
audio_047.mp3,2266.66,Camellia,0.014979,154953186.13,0.013437,172739341.80
audio_048.mp3,2315.64,AES,0.003240,731886757.10,0.003153,751974076.99
audio_048.mp3,2315.64,3DES,0.504269,4702286.72,0.489717,4842021.57
audio_048.mp3,2315.64,ChaCha20,0.001773,1337494505.42,0.001799,1317997500.96
audio_048.mp3,2315.64,Camellia,0.014819,160010443.76,0.013609,174236771.29
audio_049.mp3,2364.01,AES,0.003715,651690926.24,0.003875,624629014.51
audio_049.mp3,2364.01,3DES,0.520872,4647486.25,0.506426,4780060.03
audio_049.mp3,2364.01,ChaCha20,0.001892,1279564540.74,0.001880,1287678456.66
audio_049.mp3,2364.01,Camellia,0.015524,155934216.37,0.014225,170181097.36
audio_050.mp3,2412.99,AES,0.003576,690913996.53,0.003418,722965465.50
audio_050.mp3,2412.99,3DES,0.524730,4708897.97,0.509687,4847879.69
audio_050.mp3,2412.99,ChaCha20,0.002025,1220264917.92,0.001944,1270841195.33
audio_050.mp3,2412.99,Camellia,0.016011,154325217.00,0.015261,161912728.84
audio_051.mp3,2461.36,AES,0.003721,677439630.66,0.003712,678918851.48
audio_051.mp3,2461.36,3DES,0.547146,4606501.05,0.535958,4702663.04
audio_051.mp3,2461.36,ChaCha20,0.002292,1099474304.36,0.002604,967992439.92
audio_051.mp3,2461.36,Camellia,0.017579,143376626.65,0.015838,159136616.53
audio_052.mp3,2510.34,AES,0.003524,729388103.63,0.003309,776899765.66
audio_052.mp3,2510.34,3DES,0.543776,4727286.30,0.545035,4716363.70
audio_052.mp3,2510.34,ChaCha20,0.002078,1237298020.18,0.001974,1302308847.43
audio_052.mp3,2510.34,Camellia,0.015976,160898596.45,0.014642,175556703.54
audio_053.mp3,2558.70,AES,0.007836,334364269.22,0.003405,769576361.09
audio_053.mp3,2558.70,3DES,0.545315,4804773.68,0.553765,4731456.45
audio_053.mp3,2558.70,ChaCha20,0.002006,1306413508.84,0.001962,1335628395.28
audio_053.mp3,2558.70,Camellia,0.016485,158939450.65,0.015395,170188011.03
audio_054.mp3,2607.68,AES,0.006794,393020870.74,0.005149,518562633.27
audio_054.mp3,2607.68,3DES,0.567795,4702871.10,0.550995,4846266.51
audio_054.mp3,2607.68,ChaCha20,0.001960,1362685941.53,0.001949,1369852709.57
audio_054.mp3,2607.68,Camellia,0.018527,144126365.72,0.018904,141250781.97
audio_055.mp3,2656.66,AES,0.010460,260075241.51,0.004553,597553342.27
audio_055.mp3,2656.66,3DES,0.584628,4653255.78,0.564406,4819971.96
audio_055.mp3,2656.66,ChaCha20,0.002381,1142398985.84,0.003198,850561391.77
audio_055.mp3,2656.66,Camellia,0.017875,152191870.01,0.016375,166132044.36
audio_056.mp3,2705.03,AES,0.004205,658655057.49,0.003553,779575693.42
audio_056.mp3,2705.03,3DES,0.591304,4684481.98,0.590694,4689318.58
audio_056.mp3,2705.03,ChaCha20,0.002596,1066851841.97,0.002224,1245499202.31
audio_056.mp3,2705.03,Camellia,0.019207,144213906.97,0.017459,158655385.36
audio_057.mp3,2754.01,AES,0.003998,705329867.40,0.003723,757549755.11
audio_057.mp3,2754.01,3DES,0.590391,4776673.83,0.615610,4580995.32
audio_057.mp3,2754.01,ChaCha20,0.002598,1085471402.79,0.002121,1329479810.75
audio_057.mp3,2754.01,Camellia,0.017604,160193692.63,0.016850,167370130.69
audio_058.mp3,2802.38,AES,0.006833,419991533.42,0.004600,623794628.91
audio_058.mp3,2802.38,3DES,0.603162,4757648.24,0.618732,4637923.85
audio_058.mp3,2802.38,ChaCha20,0.002429,1181517361.81,0.002283,1256773244.73
audio_058.mp3,2802.38,Camellia,0.019014,150919316.94,0.016929,169510842.40
audio_059.mp3,2851.36,AES,0.004070,717469253.14,0.004240,688584913.23
audio_059.mp3,2851.36,3DES,0.628315,4647011.32,0.613096,4762372.09
audio_059.mp3,2851.36,ChaCha20,0.002349,1243171523.89,0.002182,1338120922.41
audio_059.mp3,2851.36,Camellia,0.018377,158882220.60,0.018035,161894146.10
audio_060.mp3,2899.72,AES,0.004520,656902914.96,0.003924,756681594.55
audio_060.mp3,2899.72,3DES,0.627309,4733419.21,0.629128,4719737.83
audio_060.mp3,2899.72,ChaCha20,0.002420,1226896105.28,0.002290,1296369560.18
audio_060.mp3,2899.72,Camellia,0.019721,150567882.06,0.019267,154115434.34
audio_061.mp3,2948.70,AES,0.005537,545299792.54,0.005984,504625560.10
audio_061.mp3,2948.70,3DES,0.645664,4676535.91,0.638774,4726978.76
audio_061.mp3,2948.70,ChaCha20,0.002269,1331012893.51,0.002156,1400175531.43
audio_061.mp3,2948.70,Camellia,0.019198,157283040.22,0.017978,167956443.71
audio_062.mp3,2997.68,AES,0.004837,634671842.60,0.004029,761831538.40
audio_062.mp3,2997.68,3DES,0.646163,4750547.56,0.646616,4747217.75
audio_062.mp3,2997.68,ChaCha20,0.002741,1119755870.49,0.002534,1211532229.13
audio_062.mp3,2997.68,Camellia,0.020827,147389935.08,0.019512,157318585.03
audio_063.mp3,3046.05,AES,0.005305,587959574.29,0.004565,683204788.11
audio_063.mp3,3046.05,3DES,0.681039,4579993.91,0.648440,4810246.99
audio_063.mp3,3046.05,ChaCha20,0.002309,1351098676.80,0.002285,1365055142.68
audio_063.mp3,3046.05,Camellia,0.019722,158156292.16,0.017986,173418458.21
audio_064.mp3,3095.03,AES,0.005214,607876980.27,0.004852,653189219.43
audio_064.mp3,3095.03,3DES,0.669811,4731651.29,0.666667,4753962.53
audio_064.mp3,3095.03,ChaCha20,0.002590,1223474809.44,0.004340,730227082.21
audio_064.mp3,3095.03,Camellia,0.020432,155113289.59,0.018465,171638438.75
audio_065.mp3,3143.40,AES,0.007498,429277878.95,0.004222,762454921.39
audio_065.mp3,3143.40,3DES,0.675590,4764488.95,0.675511,4765045.56
audio_065.mp3,3143.40,ChaCha20,0.002783,1156483578.30,0.002834,1135951980.91
audio_065.mp3,3143.40,Camellia,0.021407,150366307.59,0.019486,165185661.41
audio_066.mp3,3192.38,AES,0.005635,580120778.94,0.004416,740303148.33
audio_066.mp3,3192.38,3DES,0.694950,4703927.81,0.693873,4711228.62
audio_066.mp3,3192.38,ChaCha20,0.003118,1048493890.81,0.002389,1368515281.98
audio_066.mp3,3192.38,Camellia,0.021470,152261572.57,0.022048,148263961.27
audio_067.mp3,3240.75,AES,0.009097,364779576.30,0.005273,629301668.01
audio_067.mp3,3240.75,3DES,0.701747,4728947.05,0.721048,4602358.46
audio_067.mp3,3240.75,ChaCha20,0.002605,1274040667.55,0.002517,1318326794.18
audio_067.mp3,3240.75,Camellia,0.021971,151039502.28,0.020778,159715590.64
audio_068.mp3,3289.72,AES,0.005721,588841825.80,0.004073,827046336.34
audio_068.mp3,3289.72,3DES,0.709711,4746551.64,0.718223,4690294.73
audio_068.mp3,3289.72,ChaCha20,0.003181,1058847392.84,0.003310,1017591617.58
audio_068.mp3,3289.72,Camellia,0.023000,146462730.49,0.020977,160585315.96
audio_069.mp3,3338.09,AES,0.005297,645258341.90,0.004353,785244555.74
audio_069.mp3,3338.09,3DES,0.757590,4511946.77,0.749245,4562201.05
audio_069.mp3,3338.09,ChaCha20,0.002923,1169412324.52,0.002808,1217475806.61
audio_069.mp3,3338.09,Camellia,0.023360,146325730.75,0.021384,159845195.26
audio_070.mp3,3387.07,AES,0.006403,541659917.93,0.005044,687590887.92
audio_070.mp3,3387.07,3DES,0.750152,4623545.08,0.734933,4719290.87
audio_070.mp3,3387.07,ChaCha20,0.002854,1215419869.31,0.002991,1159706665.80
audio_070.mp3,3387.07,Camellia,0.022619,153338326.95,0.020685,167677452.40
audio_071.mp3,3436.05,AES,0.008687,405031445.08,0.004300,818237177.47
audio_071.mp3,3436.05,3DES,0.739285,4759353.03,0.738742,4762850.54
audio_071.mp3,3436.05,ChaCha20,0.002692,1306918679.85,0.002605,1350697943.70
audio_071.mp3,3436.05,Camellia,0.022278,157937989.44,0.020900,168346117.89
audio_072.mp3,3484.42,AES,0.005458,653770530.84,0.005276,676282761.14
audio_072.mp3,3484.42,3DES,0.750786,4752411.05,0.756306,4717722.81
audio_072.mp3,3484.42,ChaCha20,0.002770,1288238032.31,0.002875,1241123007.25
audio_072.mp3,3484.42,Camellia,0.023605,151157113.93,0.021426,166525289.27
audio_073.mp3,3533.40,AES,0.006202,583438796.61,0.004799,754003405.30
audio_073.mp3,3533.40,3DES,0.769286,4703320.05,0.756274,4784240.62
audio_073.mp3,3533.40,ChaCha20,0.002898,1248422716.23,0.002798,1292990247.81
audio_073.mp3,3533.40,Camellia,0.023919,151269664.37,0.022300,162252774.86
audio_074.mp3,3581.76,AES,0.007785,471122470.43,0.004371,839027108.10
audio_074.mp3,3581.76,3DES,0.767191,4780719.59,0.763128,4806176.61
audio_074.mp3,3581.76,ChaCha20,0.002731,1343190607.44,0.002704,1356335921.97
audio_074.mp3,3581.76,Camellia,0.022841,160576627.07,0.020952,175053903.97
audio_075.mp3,3630.75,AES,0.005547,670245488.63,0.004719,787850833.04
audio_075.mp3,3630.75,3DES,0.784091,4741648.80,0.764318,4864315.92
audio_075.mp3,3630.75,ChaCha20,0.002721,1366450362.64,0.002859,1300469647.10
